MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
서울특별시,11,영등포구,11560,192691,447427,현대캐피탈(주),biz-gis.com
서울특별시,11,종로구,11110,197476,451932,흥국생명보험(주),biz-gis.com
전라남도,46,여수시,46130,259846,146768,한국바스프(주),biz-gis.com
경상남도,48,창원시 의창구,48121,349665,193380,현대로템(주),biz-gis.com
서울특별시,11,영등포구,11560,193605,446607,현대증권(주),biz-gis.com
서울특별시,11,서초구,11650,201738,444518,(주)케이씨씨,biz-gis.com
서울특별시,11,중구,11140,197703,450977,(주)신한금융지주회사,biz-gis.com
부산광역시,26,동구,26170,387660,184058,(주)부산은행,biz-gis.com
부산광역시,26,영도구,26200,387032,179248,(주)한진중공업,biz-gis.com
대구광역시,27,수성구,27260,345816,263308,(주)대구은행,biz-gis.com
서울특별시,11,중구,11140,198044,450688,대한전선(주),biz-gis.com
광주광역시,29,광산구,29200,180929,182634,금호타이어(주),biz-gis.com
서울특별시,11,강남구,11680,205331,445725,현대산업개발(주),biz-gis.com
서울특별시,11,영등포구,11560,193345,446534,(주)삼천리,biz-gis.com
경기도,41,시흥시,41390,181991,438081,(주)한화건설,biz-gis.com
서울특별시,11,중구,11140,198201,451219,오씨아이(주),biz-gis.com
서울특별시,11,영등포구,11560,191383,446098,미래에셋생명보험(주),biz-gis.com
서울특별시,11,중구,11140,200235,451063,태광산업(주),biz-gis.com
서울특별시,11,중구,11140,197758,451122,삼성증권(주),biz-gis.com
대전광역시,30,대덕구,30230,238410,326031,(주)케이티앤지,biz-gis.com
울산광역시,31,남구,31140,410805,224681,(주)케이피케미칼,biz-gis.com
경상남도,48,통영시,48220,330101,162862,성동조선해양(주),biz-gis.com
서울특별시,11,강남구,11680,203051,446310,두산건설(주),biz-gis.com
서울특별시,11,강남구,11680,204332,444787,(주)보광훼미리마트,biz-gis.com
서울특별시,11,영등포구,11560,192691,447427,현대카드(주),biz-gis.com
전라북도,45,익산시,45140,197862,271722,동우화인켐(주),biz-gis.com
서울특별시,11,종로구,11110,197476,451932,흥국화재해상보험(주),biz-gis.com
