MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
강원도,42,홍천군,42720,391790,566096,홍천여자중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291551,566601,일산동중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292924,566117,중산중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,299744,565914,벽제중학교,biz-gis.com
강원도,42,홍천군,42720,364456,565118,한서중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291537,565756,일산중학교,biz-gis.com
경기도,41,김포시,41570,276965,565775,통진중학교,biz-gis.com
경기도,41,가평군,41820,355498,564498,설악중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290030,565002,장성중학교,biz-gis.com
강원도,42,홍천군,42720,394701,564162,동화중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290952,564645,오마중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,292099,564509,신일중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,289464,564233,대화중학교,biz-gis.com
강원도,42,강릉시,42150,474027,563714,왕산중학교,biz-gis.com
강원도,42,평창군,42760,462525,563483,도암중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292421,563821,저동중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291690,563747,발산중학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290452,563739,한수중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296365,563070,원당중학교,biz-gis.com
경기도,41,김포시,41570,278904,562814,양곡중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292618,562612,정발중학교,biz-gis.com
경기도,41,남양주시,41360,339058,561739,심석중학교,biz-gis.com
경기도,41,남양주시,41360,333938,561754,호평중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,302462,562037,고양중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,293742,562074,백마중학교,biz-gis.com
경기도,41,남양주시,41360,327692,561603,진건중학교,biz-gis.com
경기도,41,남양주시,41360,341492,561475,화광중학교,biz-gis.com
경기도,41,남양주시,41360,324407,561481,퇴계원중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292844,561654,백신중학교,biz-gis.com
경기도,41,김포시,41570,275191,561701,대곶중학교,biz-gis.com
경기도,41,남양주시,41360,338856,560909,마석중학교,biz-gis.com
경기도,41,김포시,41570,282322,561445,장기중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297416,560881,화수중학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292750,560622,백석중학교,biz-gis.com
강원도,42,평창군,42760,448944,559440,진부중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296610,559802,화정중학교,biz-gis.com
경기도,41,남양주시,41360,330850,559393,금곡중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297449,559363,백양중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297244,558922,지도중학교,biz-gis.com
경기도,41,김포시,41570,287080,558718,금파중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297899,558513,가람중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296589,558464,능곡중학교,biz-gis.com
경기도,41,김포시,41570,286147,558460,김포중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297330,558110,신능중학교,biz-gis.com
경기도,41,김포시,41570,286608,558142,김포여자중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296957,557871,무원중학교,biz-gis.com
강원도,42,평창군,42760,433328,557091,봉평중학교,biz-gis.com
경기도,41,남양주시,41360,325943,557306,미금중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297745,557584,행신중학교,biz-gis.com
경기도,41,구리시,41310,323807,557023,동구중학교,biz-gis.com
경기도,41,남양주시,41360,326350,556812,도농중학교,biz-gis.com
강원도,42,평창군,42760,438964,556323,용전중학교,biz-gis.com
경기도,41,김포시,41570,291436,556961,고촌중학교,biz-gis.com
강원도,42,홍천군,42720,379899,556151,양덕중학교,biz-gis.com
경기도,41,남양주시,41360,326183,556462,동화중학교,biz-gis.com
경기도,41,구리시,41310,324826,556366,인창중학교,biz-gis.com
경기도,41,고양시 덕양구,41281,300625,556393,덕양중학교,biz-gis.com
강원도,42,강릉시,42150,491387,556060,옥계중학교,biz-gis.com
경기도,41,김포시,41570,287777,556076,풍무중학교,biz-gis.com
경기도,41,구리시,41310,325363,554721,구리여자중학교,biz-gis.com
경기도,41,구리시,41310,324637,554503,토평중학교,biz-gis.com
경기도,41,구리시,41310,324352,554471,구리중학교,biz-gis.com
경기도,41,구리시,41310,323704,554360,교문중학교,biz-gis.com
경기도,41,남양주시,41360,331282,554137,와부중학교,biz-gis.com
경기도,41,구리시,41310,323826,554091,장자중학교,biz-gis.com
강원도,42,횡성군,42730,413151,553292,청일중학교,biz-gis.com
경기도,41,남양주시,41360,331855,553442,덕소중학교,biz-gis.com
경기도,41,남양주시,41360,340189,552021,연세중학교,biz-gis.com
강원도,42,횡성군,42730,410274,550958,갑천중학교,biz-gis.com
강원도,42,동해시,42170,497626,551412,묵호여자중학교,biz-gis.com
강원도,42,동해시,42170,497916,549673,묵호중학교,biz-gis.com
강원도,42,동해시,42170,497186,549612,동해중학교,biz-gis.com
경기도,41,하남시,41450,331158,549236,신장중학교,biz-gis.com
경기도,41,하남시,41450,330311,549197,남한중학교,biz-gis.com
강원도,42,횡성군,42730,396797,548653,공근중학교,biz-gis.com
경기도,41,하남시,41450,331518,548534,하남중학교,biz-gis.com
경기도,41,하남시,41450,329739,548452,동부중학교,biz-gis.com
강원도,42,동해시,42170,497486,547220,동해삼육중학교,biz-gis.com
강원도,42,횡성군,42730,419000,545487,둔내중학교,biz-gis.com
강원도,42,동해시,42170,498892,544616,북평중학교,biz-gis.com
경기도,41,부천시 원미구,41195,291744,544588,계남중학교,biz-gis.com
강원도,42,평창군,42760,440886,543537,대화중학교,biz-gis.com
강원도,42,정선군,42770,474987,543676,임계중학교,biz-gis.com
강원도,42,횡성군,42730,398421,543354,대동여자중학교,biz-gis.com
강원도,42,동해시,42170,497643,543683,동해광희중학교,biz-gis.com
경기도,41,광명시,41210,299970,543360,광명북중학교,biz-gis.com
강원도,42,횡성군,42730,386645,542742,서원중학교,biz-gis.com
강원도,42,횡성군,42730,398342,542602,횡성중학교,biz-gis.com
강원도,42,동해시,42170,499574,542624,북평여자중학교,biz-gis.com
경기도,41,광명시,41210,299995,542358,광명중학교,biz-gis.com
경기도,41,광주시,41610,340037,541446,광수중학교,biz-gis.com
경기도,41,광명시,41210,298288,541561,광남중학교,biz-gis.com
경기도,41,광명시,41210,300793,541463,철산중학교,biz-gis.com
강원도,42,정선군,42770,464490,541039,여량중학교,biz-gis.com
강원도,42,횡성군,42730,404535,540686,우천중학교,biz-gis.com
경기도,41,광명시,41210,301243,541097,하안중학교,biz-gis.com
경기도,41,광명시,41210,300071,540886,하안북중학교,biz-gis.com
경기도,41,광명시,41210,301105,540050,가림중학교,biz-gis.com
강원도,42,평창군,42760,427508,539010,계촌중학교,biz-gis.com
경기도,41,광명시,41210,301774,539062,소하중학교,biz-gis.com
강원도,42,삼척시,42230,502895,538736,삼척여자중학교,biz-gis.com
강원도,42,정선군,42770,458967,537899,나전중학교,biz-gis.com
