MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권,배포처
충청북도,43,4376,괴산군,396150,469450,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4376,괴산군,382450,458850,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4376,괴산군,375650,460350,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4673,구례군,358550,285750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4673,구례군,353650,288250,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4673,구례군,351150,290950,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4673,구례군,355650,286850,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4131,구리시,324750,556150,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4719,구미시,443150,401650,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4513,군산시,298950,376250,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4513,군산시,256950,358250,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4513,군산시,260650,349550,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4513,군산시,260250,358450,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4772,군위군,459150,384550,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4420,아산시,314850,461450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4471,금산군,355850,403150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4471,금산군,357550,396350,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4521,김제시,298950,365950,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4521,김제시,307050,359250,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4521,김제시,296150,356350,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4715,김천시,422450,389950,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4715,김천시,402150,391550,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4715,김천시,410450,393250,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4715,김천시,404950,363150,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4157,김포시,272550,563050,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4825,김해시,477350,303650,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
