MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
서울특별시,11,강북구,11305,314314,559039,서울사이버대학교,biz-gis.com
서울특별시,11,동대문구,11230,316939,553885,서울시립대학교,biz-gis.com
서울특별시,11,노원구,11350,319946,558742,서울여자대학교,biz-gis.com
경기도,41,광주시,41610,333475,534443,서울장신대학교,biz-gis.com
경기도,41,양주시,41630,315552,584248,서정대학,biz-gis.com
충청남도,44,아산시,44200,317481,466752,선문대학교,biz-gis.com
서울특별시,11,종로구,11110,311335,554418,성균관대학교_인문사회과학캠퍼스,biz-gis.com
경상북도,47,영천시,47230,468830,385137,성덕대학,biz-gis.com
강원도,42,영월군,42750,440403,508248,세경대학,biz-gis.com
서울특별시,11,광진구,11215,318257,550550,세종사이버대학교,biz-gis.com
강원도,42,춘천시,42110,369547,576650,송곡대학,biz-gis.com
광주광역시,29,남구,29155,297585,279465,송원대학교,biz-gis.com
경기도,41,화성시,41590,305621,510738,수원가톨릭대학교,biz-gis.com
경기도,41,화성시,41590,309340,512404,수원대학교,biz-gis.com
충청북도,43,제천시,43150,415130,478099,순복음총회신학교,biz-gis.com
충청남도,44,아산시,44200,304811,463721,순천향대학교,biz-gis.com
서울특별시,11,동작구,11590,307997,544315,숭실대학교,biz-gis.com
경기도,41,화성시,41590,297221,511887,신경대학교,biz-gis.com
부산광역시,26,사상구,26530,491096,285982,신라대학교,biz-gis.com
경기도,41,안산시 단원구,41273,294475,523959,신안산대학,biz-gis.com
경기도,41,양평군,41830,349556,545524,아세아연합신학대학교,biz-gis.com
충청남도,44,보령시,44180,272810,423512,아주자동차대학,biz-gis.com
경상북도,47,안동시,47170,471354,438176,안동대학교,biz-gis.com
인천광역시,28,강화군,28710,263199,568767,안양대학교,biz-gis.com
경기도,41,여주군,41730,367858,518794,여주대학,biz-gis.com
강원도,42,원주시,42130,395344,527459,연세대학교(원주),biz-gis.com
경상남도,48,진주시,48170,409132,285076,연암공업대학,biz-gis.com
경상북도,47,경산시,47290,468640,359415,영남대학교,biz-gis.com
대구광역시,27,남구,27200,452805,361012,영남이공대학,biz-gis.com
경상남도,48,양산시,48330,504459,315001,영산대학교,biz-gis.com
전라남도,46,영광군,46870,258440,304094,영산선학대학교,biz-gis.com
전라북도,45,전주시 완산구,45111,321981,357650,예수대학교,biz-gis.com
경기도,41,오산시,41370,316770,506363,오산대학,biz-gis.com
전라북도,45,완주군,45710,315900,368419,우석대학교,biz-gis.com
대전광역시,30,동구,30110,350341,415258,우송정보대학,biz-gis.com
울산광역시,31,동구,31170,528639,322748,울산과학대학,biz-gis.com
울산광역시,31,남구,31140,514084,328020,울산대학교,biz-gis.com
전라북도,45,익산시,45140,305961,375096,원광디지털대학교,biz-gis.com
경기도,41,부천시 소사구,41197,295977,543438,유한대학,biz-gis.com
서울특별시,11,서대문구,11410,307152,551594,이화여자대학교,biz-gis.com
부산광역시,26,부산진구,26230,493198,283482,인제대학교,biz-gis.com
인천광역시,28,연수구,28185,280188,532108,인천가톨릭대학교,biz-gis.com
인천광역시,28,남구,28170,281410,539284,인하공업전문대학,biz-gis.com
경기도,41,화성시,41590,306666,512805,장안대학,biz-gis.com
서울특별시,11,종로구,11110,308896,552201,적십자간호대학,biz-gis.com
광주광역시,29,북구,29170,300429,286998,전남대학교,biz-gis.com
전라북도,45,정읍시,45180,296928,328324,전북과학대학,biz-gis.com
전라북도,45,전주시 완산구,45111,323854,356835,전주교육대학교,biz-gis.com
전라북도,45,전주시 완산구,45111,317990,356974,전주비전대학,biz-gis.com
제주특별자치도,50,제주시,50110,266521,96451,제주대학교,biz-gis.com
광주광역시,29,동구,29110,302582,282633,조선간호대학,biz-gis.com
광주광역시,29,동구,29110,302849,283154,조선대학교,biz-gis.com
충청남도,44,금산군,44710,350740,399299,중부대학교,biz-gis.com
경기도,41,안성시,41550,331652,489623,중앙대학교(안성),biz-gis.com
경기도,41,김포시,41570,285945,556610,중앙승가대학교,biz-gis.com
경상남도,48,진주시,48170,406341,287444,진주교육대학교,biz-gis.com
경상남도,48,창원시 마산회원구,48127,454825,294051,창신대학,biz-gis.com
경기도,41,이천시,41500,342918,511717,청강문화산업대학,biz-gis.com
전라남도,46,순천시,46150,353536,258769,청암대학,biz-gis.com
