,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O
11554,서울특별시,11,강북구,11305,312550,563950,2.15458,0.0,0.08286,0.31767,0.59391,0.82871,0.30383,0.0276,0.0
11555,서울특별시,11,도봉구,11320,315250,562950,19.96484,0.0,0.0,5.58824,3.20012,11.17648,0.0,0.0,0.0
11556,서울특별시,11,강남구,11680,321550,540650,7.69176,0.0,0.0,0.0,3.84588,1.92294,1.92294,0.0,0.0
11557,서울특별시,11,강남구,11680,316950,544950,98.54154,1.20426,63.7661,20.96087,6.05383,5.74798,0.54475,0.26375,0.0
11558,서울특별시,11,용산구,11170,308550,549550,36.24666,0.0,0.0,36.24666,0.0,0.0,0.0,0.0,0.0
11559,서울특별시,11,마포구,11440,306750,549950,167.90989,0.0,29.99285,61.83649,32.88122,30.19089,12.92975,0.07869,0.0
11560,서울특별시,11,영등포구,11560,302950,546050,71.99999,0.06031,16.32129,27.94679,16.49135,7.92016,2.71939,0.50712,0.03358
11561,서울특별시,11,도봉구,11320,314550,561050,9.1673,0.0,1.83346,0.0,3.66692,1.83346,1.83346,0.0,0.0
11562,서울특별시,11,서대문구,11410,303850,553850,33.14285,0.0,0.0,0.0,24.85714,8.28571,0.0,0.0,0.0
11563,서울특별시,11,강북구,11305,314450,557350,11.55228,0.0,0.0,3.91237,2.89922,2.07086,2.66983,0.0,0.0
11564,서울특별시,11,구로구,11530,301350,544550,73.25997,0.0,4.48514,17.26919,33.40066,9.60664,5.20999,3.28835,0.0
11565,서울특별시,11,마포구,11440,304350,551050,73.19138,0.0,19.93883,41.71787,10.83901,0.69567,0.0,0.0,0.0
11566,서울특별시,11,강서구,11500,299250,549250,54.64708,0.0,19.51678,7.80676,11.7101,15.61344,0.0,0.0,0.0
11567,서울특별시,11,양천구,11470,296550,548450,6.00915,0.0,0.0,2.40366,3.60549,0.0,0.0,0.0,0.0
11568,서울특별시,11,도봉구,11320,314650,561350,28.00002,0.0,4.66667,0.0,14.00001,9.33334,0.0,0.0,0.0
11569,서울특별시,11,용산구,11170,312550,548350,118.23413,0.0,20.18118,39.2353,24.09059,6.16353,22.96353,5.6,0.0
