,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
4979,서울특별시,11,1129,성북구,313650,556550,150,0,0,0,25,0,0,0,75,50,0,GIS United INC.
4980,서울특별시,11,1135,노원구,317050,563150,250,0,0,0,25,0,0,0,150,75,0,GIS United INC.
4981,서울특별시,11,1168,강남구,316450,544150,300,0,0,0,25,0,0,0,150,125,0,GIS United INC.
4982,서울특별시,11,1129,성북구,312550,557550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4983,서울특별시,11,1168,강남구,317350,544050,125,0,0,0,0,0,0,0,75,50,0,GIS United INC.
4984,서울특별시,11,1171,송파구,322950,545550,275,0,0,0,50,0,0,0,150,75,0,GIS United INC.
4985,서울특별시,11,1135,노원구,317850,559150,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4986,서울특별시,11,1162,관악구,307750,542950,100,0,0,0,25,0,0,0,25,50,0,GIS United INC.
4987,서울특별시,11,1153,구로구,302150,545150,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4988,서울특별시,11,1114,중구,312450,551750,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
4989,서울특별시,11,1121,광진구,319950,550250,175,0,0,0,25,0,0,0,75,75,0,GIS United INC.
4990,서울특별시,11,1150,강서구,298550,550650,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4991,서울특별시,11,1138,은평구,304450,554550,125,0,0,0,0,0,0,0,100,25,0,GIS United INC.
4992,서울특별시,11,1165,서초구,314850,542750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
4993,서울특별시,11,1135,노원구,319550,558150,100,0,0,0,25,0,0,0,25,50,0,GIS United INC.
4994,서울특별시,11,1174,강동구,322750,548750,400,0,0,0,50,0,0,0,275,75,0,GIS United INC.
4995,서울특별시,11,1171,송파구,320050,545850,175,0,0,0,25,0,0,0,75,75,0,GIS United INC.
4996,서울특별시,11,1153,구로구,297150,544150,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
4997,서울특별시,11,1120,성동구,313550,549950,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
4998,서울특별시,11,1141,서대문구,306850,554850,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
4999,서울특별시,11,1126,중랑구,318550,555050,100,0,0,0,25,0,0,0,50,25,0,GIS United INC.
5000,서울특별시,11,1162,관악구,304450,541950,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5001,서울특별시,11,1154,금천구,302750,540850,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
5002,서울특별시,11,1174,강동구,324750,549050,150,0,0,0,50,0,0,0,75,25,0,GIS United INC.
5003,서울특별시,11,1147,양천구,299850,548350,75,0,0,0,25,0,0,0,25,25,0,GIS United INC.
5004,서울특별시,11,1138,은평구,305650,557050,450,0,0,0,50,0,0,0,250,150,0,GIS United INC.
5005,서울특별시,11,1132,도봉구,315750,563450,150,0,0,0,25,0,0,0,75,50,0,GIS United INC.
5006,서울특별시,11,1135,노원구,318250,558450,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5007,서울특별시,11,1168,강남구,314350,547150,325,0,0,0,50,0,0,0,250,25,0,GIS United INC.
5008,서울특별시,11,1126,중랑구,319650,553550,225,0,0,0,0,0,0,0,175,50,0,GIS United INC.
5009,서울특별시,11,1147,양천구,298750,547150,350,0,0,0,0,0,0,0,250,100,0,GIS United INC.
5010,서울특별시,11,1171,송파구,321450,545250,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5011,서울특별시,11,1171,송파구,320050,545950,125,0,0,0,0,0,0,0,75,50,0,GIS United INC.
5012,서울특별시,11,1132,도봉구,314950,561050,100,0,0,0,25,0,0,0,50,25,0,GIS United INC.
5013,서울특별시,11,1171,송파구,325250,543950,125,0,0,0,25,0,0,0,50,50,0,GIS United INC.
5014,서울특별시,11,1144,마포구,307150,550950,75,0,0,0,25,0,0,0,50,0,0,GIS United INC.
5015,서울특별시,11,1121,광진구,319250,552350,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5016,서울특별시,11,1168,강남구,314350,547650,75,0,0,0,0,0,0,0,75,0,0,GIS United INC.
5017,서울특별시,11,1147,양천구,301650,548950,75,0,0,0,0,0,0,0,25,50,0,GIS United INC.
