,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O
4854,서울특별시,11,중구,11140,312950,550650,8,155.0,1193000000.0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0
4855,서울특별시,11,중랑구,11260,321450,555850,15,248.0,1404000000.0,0,14,1,0,0,0,0,9,6,0,0,0,0,0,0
4856,서울특별시,11,중랑구,11260,320450,555050,39,585.0,2498000000.0,2,34,2,0,1,0,13,25,1,0,0,0,0,0,0
4857,서울특별시,11,중랑구,11260,319350,554150,8,135.0,1047000000.0,0,8,0,0,0,0,0,1,7,0,0,0,0,0,0
4858,서울특별시,11,중랑구,11260,319250,555050,30,434.0,2395000000.0,0,30,0,0,0,0,1,21,8,0,0,0,0,0,0
4859,서울특별시,11,강동구,11740,323150,550250,20,335.0,2253000000.0,0,18,2,0,0,0,0,5,15,0,0,0,0,0,0
4860,서울특별시,11,강남구,11680,313550,546750,9,142.0,1348000000.0,4,3,1,0,1,0,0,4,3,1,0,1,0,0,0
4861,서울특별시,11,성북구,11290,313150,555450,16,333.0,1788000000.0,0,4,12,0,0,0,0,3,13,0,0,0,0,0,0
4862,서울특별시,11,송파구,11710,323550,544950,36,606.0,5202000000.0,0,30,6,0,0,0,0,4,30,2,0,0,0,0,0
4863,서울특별시,11,송파구,11710,323450,545450,25,545.0,5109000000.0,0,3,22,0,0,0,0,0,8,17,0,0,0,0,0
4864,서울특별시,11,은평구,11380,303750,557650,22,367.0,2091000000.0,2,16,4,0,0,0,0,14,8,0,0,0,0,0,0
4865,서울특별시,11,광진구,11215,318050,549550,31,342.0,2563000000.0,21,6,3,1,0,0,4,21,3,3,0,0,0,0,0
4866,서울특별시,11,구로구,11530,299050,544850,24,246.0,1612000000.0,12,12,0,0,0,0,4,20,0,0,0,0,0,0,0
4867,서울특별시,11,금천구,11545,303650,539850,34,547.0,2715000000.0,0,34,0,0,0,0,0,34,0,0,0,0,0,0,0
4868,서울특별시,11,노원구,11350,318650,559750,10,182.0,830000000.0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
4869,서울특별시,11,도봉구,11320,315650,560150,52,845.0,4208000000.0,1,40,11,0,0,0,6,36,10,0,0,0,0,0,0
4870,서울특별시,11,동작구,11590,309950,543150,33,625.0,5267000000.0,1,15,17,0,0,0,1,3,19,10,0,0,0,0,0
4871,서울특별시,11,동작구,11590,304150,543950,23,737.0,5309000000.0,0,8,0,15,0,0,0,0,2,21,0,0,0,0,0
4872,서울특별시,11,마포구,11440,307650,550150,10,171.0,1278000000.0,0,9,0,1,0,0,0,1,8,1,0,0,0,0,0
4873,서울특별시,11,마포구,11440,303750,550150,31,744.0,6368000000.0,0,4,26,1,0,0,0,0,7,23,1,0,0,0,0
4874,서울특별시,11,서초구,11650,314750,542250,2,180.0,4496000000.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4875,서울특별시,11,서초구,11650,313250,545650,27,823.0,9944000000.0,0,1,7,19,0,0,0,0,1,7,0,19,0,0,0
4876,서울특별시,11,종로구,11110,311750,554650,17,285.0,1668000000.0,0,15,0,1,1,0,0,15,1,1,0,0,0,0,0
4877,서울특별시,11,종로구,11110,309850,556750,9,243.0,1679000000.0,0,0,6,3,0,0,0,0,6,3,0,0,0,0,0
4878,서울특별시,11,용산구,11170,308350,547450,14,259.0,8111000000.0,0,14,0,0,0,0,0,0,0,0,0,0,12,2,0
4879,서울특별시,11,성동구,11200,314450,550350,26,365.0,1341000000.0,1,25,0,0,0,0,11,15,0,0,0,0,0,0,0
