,정류소번호,정류소명,lat,lon
0,1001,종로2가사거리,322293.2135531899,4159984.453238365
1,1002,창경궁.서울대학교병원,323094.16078682215,4161012.833053217
2,1003,명륜3가.성대입구,323259.0825742003,4161396.544149297
3,1004,종로2가.삼일교,322278.31349065027,4159853.128000664
4,1005,혜화동로터리,323568.10312101035,4161786.477939496
5,1006,서대문역사거리,320442.37809610704,4159621.537152791
6,1007,서울역사박물관.경희궁앞,320757.56015640835,4159947.540802394
7,1008,서울역사박물관.경희궁앞,320778.4501566763,4159977.840259652
8,1009,광화문,321190.1516786668,4160049.2709373906
9,1010,광화문,321440.71441823675,4160052.9026134964
10,1011,종로1가,321689.99124316545,4160036.6251320867
11,1012,종로1가,321732.65940647095,4160047.9804036147
12,1013,종로2가,322099.16004298785,4160030.0818884927
13,1014,종로2가,322161.6865749846,4160041.8984904024
14,1015,종로3가.탑골공원,322454.63885562075,4160034.2660313332
15,1016,종로3가.탑골공원,322492.2822689055,4160046.2899760716
16,1017,종로4가.종묘,322910.75141914655,4160053.603649611
17,1018,종로4가.종묘,322960.66540376435,4160065.872414097
18,1019,종로5가.광장시장,323275.92339835747,4160073.5460487627
19,1020,종로5가.광장시장,323319.03468803735,4160086.3748158384
20,1021,종로6가.동대문종합시장,323683.9255453352,4160087.696772646
21,1022,종로6가.동대문종합시장,323883.0215820023,4160101.757252395
22,1023,동대문역.흥인지문,324569.15517681895,4160217.665235367
23,1037,동대문(흥인지문),324444.23590564646,4160181.521435842
24,1041,동묘앞,325014.0967624121,4160366.2564238254
25,1044,동묘앞,325123.10538587987,4160421.4530607015
26,1101,경기상고,320711.95996231475,4161992.873009157
27,1102,신교동,320781.32304489205,4161515.7387766764
28,1103,경기상고,320747.00563343137,4161952.2133407723
29,1104,경복고교,320854.4801758233,4161719.2481067847
30,1105,청운중학교,320990.83610938885,4162020.343627969
31,1106,자하문고개.윤동주문학관,320525.54550747003,4162511.614038537
32,1107,자하문고개.윤동주문학관,320531.59625513875,4162527.99060013
33,1108,청운중학교,320986.89055964246,4162051.137772811
34,1109,경복고교,320863.9317914529,4161702.7414259883
35,1110,통인시장종로구보건소,320843.56554547994,4161188.005636434
36,1111,통인시장종로구보건소,320873.60472751356,4161208.172722084
37,1112,효자동,320812.30593053787,4161495.6724831923
38,1113,사직단,320560.93655054114,4160617.9346280056
39,1114,사직동주민센터,320857.87369637314,4160727.849580022
40,1115,경복궁역,320936.47794821387,4160802.000580509
41,1116,경복궁역,320946.07847110485,4160891.1254936913
42,1117,경복궁,321511.95255170425,4160646.3985975855
43,1118,KT광화문지사,321378.27841306047,4160297.3302223636
44,1120,광화문,321289.5383313579,4160014.9268292817
45,1123,서울역사박물관.경교장.강북삼성병원,320836.35258362227,4160044.418854262
46,1125,광화문,321242.47896972415,4160073.6235968703
47,1126,세종문화회관,321312.280997208,4160326.6446800595
48,1127,서울지방경찰청.경복궁역,320870.9349488268,4160678.855398929
49,1128,사직단,320577.7721674987,4160586.4658351056
50,1129,광화문광화문빌딩,321302.904001217,4159970.827913383
51,1130,덕성여중고,321796.8668858936,4160656.83665592
52,1131,안국역.종로경찰서.인사동,321983.20262775465,4160683.878643257
53,1132,국민은행세검정지점,320004.81525299256,4163907.968637818
54,1133,세검정초등학교,320028.9024135279,4163667.575485035
55,1134,세검정.상명대,319804.14723896974,4163475.999085176
56,1135,상명대입구,319787.5298883433,4163329.9042496663
57,1136,하림각,320061.366489578,4163181.822312164
58,1137,자하문터널입구.석파정,320226.2400455207,4162896.315850783
59,1138,부암동주민센터.무계원,320247.0861228558,4162578.8665125417
60,1139,부암동주민센터.무계원,320351.78601364134,4162581.9377804776
61,1140,자하문터널입구.석파정,320255.6511805574,4162891.687917292
62,1141,하림각,320106.2950361087,4163182.4655885748
63,1142,상명대입구.세검정교회,319847.20199840644,4163351.140337236
64,1143,세검정.상명대,319822.41885330126,4163455.603077119
65,1144,세검정초등학교,320047.14614890795,4163641.1780851693
66,1146,국민은행세검정지점,320033.2719406615,4163913.5912232427
67,1148,승가사입구,319617.03600613505,4164684.7892946927
68,1149,구기동현대빌라,319626.67122849426,4164512.626374611
69,1150,구기터널한국고전번역원,319601.4027811794,4164354.911903187
70,1151,구기터널앞.한국고전번역원,319618.8803433726,4164320.7281149
71,1152,구기동,319802.1848131559,4164167.8719314593
72,1153,구기동,319852.7830420352,4164171.695290416
73,1154,승가사입구,319632.3199146329,4164672.86489598
74,1155,갑을씨티텔앞,320237.79389766883,4163870.4932043017
75,1156,평창파출소,320461.51416937425,4163971.2608380127
76,1157,평창동주민센터,320775.61133070954,4164107.1145401727
77,1158,일성아파트,321083.77607152564,4164340.1261475473
78,1159,롯데아파트,321393.8682261122,4164518.0780614344
79,1160,롯데아파트,321409.83498597745,4164497.5783424173
80,1161,벽산평창힐스아파트,321064.6052100812,4164276.56139496
81,1162,예능교회,320813.68000010296,4164096.258104716
82,1163,서울예술고등학교.평창동주민센터,320602.4747629459,4164018.873744181
83,1164,화정박물관,320350.69310057664,4163882.792289366
84,1165,강북삼성병원,320598.0146148433,4159841.188878705
85,1167,독립문역,319803.29229305557,4160420.8976283954
86,1168,서대문.서울시교육청,320238.5170208879,4159860.9472113964
87,1169,서대문역사거리.적십자병원,320506.0832226075,4159727.970015363
88,1171,독립문,319983.7493151205,4160190.579562331
89,1172,창덕궁.서울돈화문국악당,322386.5906414336,4160836.940483945
90,1173,무교동,321631.16763748566,4159940.6308849547
91,1174,청계1가.광교,322041.2939194547,4159869.8783552516
