,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
673,서초구,2273, 일동제약 사거리,서울특별시 양재동 67-12,10,326542.3139306359,4149688.832419116
674,서초구,2274, 양재시민의숲역 3번출구,서울특별시 양재동 316-11,10,326642.1760066226,4148778.823105874
675,서초구,2275, 염곡치안센터 건너편,서울특별시 염곡동 260-1,10,327436.01896464,4147866.2862459617
676,서초구,2276, 영동1교 (양재천근린공원),서울특별시 양재동 261-23,15,326590.3355913035,4149305.85532618
677,서초구,2277, 길마중4교 하부,서울특별시 잠원동 84-3,10,324596.2733490473,4153841.513221131
678,서초구,2279, 교대역 5번출구뒤,서울특별시 서초구 서초중앙로 130,10,324449.35754346714,4151485.439146065
679,서초구,2281, 연세사랑병원신관앞,서울특별시 서초구 효령로 10,7,321940.7045236053,4149580.6367051126
680,서초구,2282, 방배래미안아트힐 101동앞,서울특별시 서초구 남부순환로 2311-12,15,323672.7919528567,4149679.6387532875
681,서초구,2283, 그룹한빌딩옆,서울특별시 서초구 서초대로 62,10,322220.74730828335,4150745.48167502
682,서초구,2284, CJ오쇼핑앞,서울특별시 서초구 과천대로 870-13,10,321967.90965345566,4148705.622479573
683,서초구,2286, 탑성마을입구,서울특별시 서초구 탑성말길 2,10,328055.91659970954,4147517.2272198554
684,서초구,2287, 능안마을입구,서울특별시 서초구 능안말길 1-2,10,329041.32611583057,4147171.8081174237
685,서초구,2288, 안골마을입구,서울특별시 서초구 안골2길 3,10,328807.0683109439,4147175.2872463395
686,서초구,2289, 남태령역 2번출구,서울특별시 서초구 과천대로 810,10,322111.3659923657,4148280.271833582
687,서초구,2292, 무지개아파트 앞,서울특별시 서초구 효령로 391,15,325571.43616185966,4150865.163444677
688,서초구,2293, SPC 앞,서울특별시 서초구 남부순환로 2620,10,326445.78187375376,4150464.456774928
689,서초구,2294, 두상빌딩 앞,서울특별시 서초구 언남길 87,15,327242.9354130784,4149460.794070122
690,서초구,2298, 래미안서초스위트앞,서울특별시 서초구 서운로 221,12,325126.15167356626,4152447.2849107627
691,성동구,3511, 응봉역 1번출구,서울특별시 성동구 고산자로 123,15,326432.5476905769,4157841.460889125
692,성동구,3513, 상왕십리역 1번출구,서울특별시 성동구 하왕십리동 860-1 ,10,325941.9761903102,4159334.8206776255
693,성동구,3514, 왕십리교회옆,서울특별시 성동구 상왕십리동 350-1 ,10,325459.94101192185,4159528.224782754
694,성동구,3519, 용답역 1번 출구,서울특별시 성동구 용답길 86,10,327890.2814055718,4159071.827315031
695,성동구,3522, 사근삼거리,서울특별시 성동구 사근동10길 7,9,327670.11724506237,4158925.203560798
696,성동구,506,금호 어울림 아파트 앞,서울특별시 성동구 광나루로 249,7,328432.02940033225,4157556.8984033926
697,성동구,507,성수아이에스비즈타워 앞,서울특별시 성동구 성수이로 147,7,328370.0746588808,4157462.934563944
698,성동구,508,성수아카데미타워 앞,서울특별시 성동구 성수이로 118,10,328398.0947998238,4157125.225607244
699,성동구,509,이마트 버스정류소 옆,서울특별시 성동구 뚝섬로 379,20,327950.6523091065,4156522.6107721576
700,성동구,510,서울숲 남문 버스정류소 옆,서울특별시 성동구 왕십리로11길 9,10,327177.70677792956,4156712.7214098154
701,성동구,511,서울숲역 4번 출구 옆,서울특별시 성동구 왕십리로 지하77,16,327256.9422054903,4157084.060489174
702,성동구,512,뚝섬역 1번 출구 옆,서울특별시 성동구 아차산로 18,15,327301.20168978145,4157524.8418211434
703,성동구,513,뚝섬역 5번 출구 정류소 옆,서울특별시 성동구 아차산로 18,8,327719.9847890631,4157265.9285383048
704,성동구,514,성수사거리 버스정류장 앞,서울특별시 성동구 아차산로 171,7,328904.52357515635,4156827.7100028023
705,성동구,518,청계천 박물관 앞,서울특별시 성동구 마장동 610,20,326501.85774778516,4160090.8346542483
706,성동구,519,양지사거리,서울특별시 성동구 홍익동 590,20,326010.8545571447,4159598.0230417233
707,성동구,520,상왕십리역 4번 출구 앞,서울특별시 성동구 하왕십리동 960-3,10,326039.24168959435,4159249.3015171136
