,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O
8286,서울특별시,11,용산구,11170,307850,548650,128.89,222.81,45.75,29.56,43.81,36.21,28.63,38.85
8287,서울특별시,11,용산구,11170,307750,548550,3.19,5.33,0.89,0.72,0.96,0.97,0.63,1.16
8288,서울특별시,11,용산구,11170,308650,550450,172.42,404.22,97.46,37.89,72.19,73.77,50.2,72.71
8289,서울특별시,11,용산구,11170,308650,550350,102.0,238.4,62.72,21.97,48.25,43.23,24.55,37.68
8290,서울특별시,11,용산구,11170,310350,550250,55.07,118.0,19.81,15.91,22.93,19.89,20.04,19.42
8291,서울특별시,11,용산구,11170,312950,548750,26.32,61.74,7.68,7.4,11.0,11.81,10.99,12.86
8292,서울특별시,11,용산구,11170,307450,548350,554.0,1681.99,315.83,152.87,345.96,308.01,223.33,335.99
8293,서울특별시,11,용산구,11170,308750,547050,105.0,321.06,56.58,29.08,58.1,53.37,57.25,66.68
8294,서울특별시,11,용산구,11170,309650,546550,30.0,91.88,19.27,7.69,14.7,17.44,14.19,18.59
8295,서울특별시,11,용산구,11170,308850,546950,114.0,344.22,84.21,26.61,89.68,57.9,58.45,27.37
8296,서울특별시,11,용산구,11170,309550,547150,84.0,251.73,64.07,21.73,51.14,58.13,22.6,34.06
8297,서울특별시,11,강서구,11500,298850,548250,119.26,217.43,45.91,34.37,41.77,36.04,36.94,22.4
8298,서울특별시,11,강서구,11500,298450,549050,218.71,595.55,130.1,96.78,157.46,79.02,84.17,48.02
8299,서울특별시,11,강서구,11500,297950,548650,195.92,380.31,71.01,68.51,75.23,53.22,58.01,54.33
8300,서울특별시,11,강서구,11500,298050,549650,98.56,212.34,35.15,40.9,44.16,29.44,34.11,28.58
8301,서울특별시,11,마포구,11440,306750,549850,42.56,67.16,12.12,8.4,11.44,9.4,11.44,14.36
8302,서울특별시,11,마포구,11440,306950,549550,228.04,658.85,138.46,64.31,119.79,113.8,99.93,122.56
