,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
11333,서울특별시,11,강서구,11500,300150,551050,2620000.0,2785000.0,2795000.0
11334,서울특별시,11,강서구,11500,300550,550450,5530000.0,5860000.0,5860000.0
11335,서울특별시,11,강서구,11500,300850,550350,2630000.0,2795000.0,2810000.0
11336,서울특별시,11,강서구,11500,300950,550250,5250000.0,5560000.0,5560000.0
11337,서울특별시,11,강서구,11500,299950,550450,7900000.0,8250000.0,8250000.0
11338,서울특별시,11,강서구,11500,300450,550250,2500000.0,2700000.0,2710000.0
11339,서울특별시,11,강서구,11500,300450,550350,3230000.0,3490000.0,3500000.0
11340,서울특별시,11,강서구,11500,292250,551150,370000.0,384000.0,389000.0
11341,서울특별시,11,강서구,11500,292250,550350,120000.0,125000.0,127000.0
11342,서울특별시,11,강서구,11500,293550,549850,142000.0,148000.0,150000.0
11343,서울특별시,11,강서구,11500,298350,549650,1760000.0,1820000.0,1850000.0
11344,서울특별시,11,강서구,11500,298450,549950,2275000.0,2335000.0,2360000.0
11345,서울특별시,11,강서구,11500,298450,549850,1310000.0,1370000.0,1400000.0
11346,서울특별시,11,강서구,11500,298450,549550,2400000.0,2460000.0,2480000.0
11347,서울특별시,11,강서구,11500,298450,549450,1210000.0,1270000.0,1300000.0
11348,서울특별시,11,강서구,11500,298450,549350,1410000.0,1466666.66667,1496666.66667
11349,서울특별시,11,강서구,11500,298450,549150,1250000.0,1313333.33333,1343333.33333
11350,서울특별시,11,강서구,11500,298550,549250,1150000.0,1200000.0,1230000.0
11351,서울특별시,11,강서구,11500,298250,549350,1310000.0,1370000.0,1400000.0
11352,서울특별시,11,강서구,11500,298550,548850,1280000.0,1360000.0,1390000.0
11353,서울특별시,11,강서구,11500,298750,548650,1235000.0,1340000.0,1370000.0
11354,서울특별시,11,강서구,11500,298350,548850,2400000.0,2470000.0,2500000.0
11355,서울특별시,11,강서구,11500,298150,548650,1650000.0,1730000.0,1760000.0
11356,서울특별시,11,강서구,11500,298250,548550,4430000.0,4535000.0,4535000.0
11357,서울특별시,11,강서구,11500,298250,548450,3970000.0,4050000.0,4050000.0
11358,서울특별시,11,강서구,11500,297550,548250,2460000.0,2505000.0,2515000.0
11359,서울특별시,11,강서구,11500,297550,548550,4070000.0,4150000.0,4150000.0
11360,서울특별시,11,강서구,11500,297750,548650,1500000.0,1585000.0,1605000.0
11361,서울특별시,11,강서구,11500,297750,548850,1460000.0,1550000.0,1570000.0
