,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,BANK_NM
93,서울특별시,11,종로구,11110,308884,552246,우리은행
94,서울특별시,11,종로구,11110,309576,552870,우리은행
95,서울특별시,11,종로구,11110,312534,552528,우리은행
96,서울특별시,11,종로구,11110,310240,553896,우리은행
97,서울특별시,11,종로구,11110,311690,554709,우리은행
98,서울특별시,11,종로구,11110,309763,552421,우리은행
99,서울특별시,11,종로구,11110,310022,552849,우리은행
100,서울특별시,11,종로구,11110,313844,553049,우리은행
101,서울특별시,11,종로구,11110,311685,552945,우리은행
102,서울특별시,11,종로구,11110,310504,552728,우리은행
103,서울특별시,11,종로구,11110,308514,555667,우리은행
104,서울특별시,11,종로구,11110,310590,553223,우리은행
105,서울특별시,11,종로구,11110,311138,552577,우리은행
106,서울특별시,11,종로구,11110,311724,552493,우리은행
107,서울특별시,11,종로구,11110,312003,552444,우리은행
108,서울특별시,11,종로구,11110,312411,552693,우리은행
109,서울특별시,11,종로구,11110,310561,552525,우리은행
110,서울특별시,11,종로구,11110,310033,552784,우리은행
111,서울특별시,11,종로구,11110,312946,552688,우리은행
112,서울특별시,11,종로구,11110,313232,552440,우리은행
113,서울특별시,11,종로구,11110,311227,552314,우리은행
114,서울특별시,11,종로구,11110,309588,556859,우리은행
115,서울특별시,11,종로구,11110,311971,554099,우리은행
116,서울특별시,11,종로구,11110,309334,553411,우리은행
117,서울특별시,11,종로구,11110,310127,552417,하나은행
118,서울특별시,11,종로구,11110,309501,553065,하나은행
119,서울특별시,11,종로구,11110,309409,552661,하나은행
120,서울특별시,11,종로구,11110,310183,552755,하나은행
121,서울특별시,11,종로구,11110,313869,552979,하나은행
122,서울특별시,11,종로구,11110,310553,553187,하나은행
123,서울특별시,11,종로구,11110,310392,553007,하나은행
124,서울특별시,11,종로구,11110,311968,552651,하나은행
125,서울특별시,11,종로구,11110,312268,552580,하나은행
126,서울특별시,11,종로구,11110,313297,552853,하나은행
