,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
506,서울특별시,11,중구,11140,1,310050,552150
507,서울특별시,11,마포구,11440,1,305350,550650
508,서울특별시,11,성동구,11200,1,317050,549650
509,서울특별시,11,중구,11140,1,310050,551350
510,서울특별시,11,금천구,11545,1,301550,542050
511,서울특별시,11,강동구,11740,1,324250,548950
512,서울특별시,11,용산구,11170,3,309050,547950
513,서울특별시,11,강남구,11680,2,315150,544550
514,서울특별시,11,서초구,11650,1,311350,543050
515,서울특별시,11,영등포구,11560,1,303350,543350
516,서울특별시,11,금천구,11545,1,301250,542750
517,서울특별시,11,관악구,11620,1,308350,542150
518,서울특별시,11,마포구,11440,2,308450,550250
519,서울특별시,11,강남구,11680,1,314850,547750
520,서울특별시,11,중구,11140,1,309550,551650
521,서울특별시,11,서초구,11650,1,311950,544850
522,서울특별시,11,강남구,11680,1,316450,543450
523,서울특별시,11,강남구,11680,1,317350,544550
524,서울특별시,11,동작구,11590,1,305850,546150
525,서울특별시,11,강남구,11680,1,316050,541850
526,서울특별시,11,강남구,11680,2,314550,543650
527,서울특별시,11,중구,11140,1,310350,551950
528,서울특별시,11,마포구,11440,1,307750,549950
529,서울특별시,11,서초구,11650,1,312650,544750
530,서울특별시,11,서대문구,11410,1,308650,551350
531,서울특별시,11,서초구,11650,1,315050,542350
532,서울특별시,11,중구,11140,1,310650,552050
533,서울특별시,11,서초구,11650,3,313550,546150
534,서울특별시,11,중구,11140,1,309550,550950
535,서울특별시,11,종로구,11110,1,310550,552750
536,서울특별시,11,영등포구,11560,1,304650,547850
537,서울특별시,11,강남구,11680,1,314950,544050
538,서울특별시,11,강서구,11500,1,294650,552950
539,서울특별시,11,영등포구,11560,1,304950,547250
540,서울특별시,11,구로구,11530,1,299450,545450
541,서울특별시,11,영등포구,11560,1,305250,547350
542,서울특별시,11,종로구,11110,2,310750,553350
543,서울특별시,11,서초구,11650,1,312350,542250
