,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
22854,서울특별시,11,서대문구,11410,308750,551450,91.1,279.13,4
22855,서울특별시,11,강서구,11500,299050,552250,90.0,291.85,7
22856,서울특별시,11,동작구,11590,307550,545150,164.24,461.88,4
22857,서울특별시,11,중랑구,11260,321450,555750,47.56,68.48,3
22858,서울특별시,11,은평구,11380,301950,554450,62.88,100.0,4
22859,서울특별시,11,강서구,11500,298350,549550,133.65,267.22,3
22860,서울특별시,11,강남구,11680,316750,545750,62.69,127.37,6
22861,서울특별시,11,종로구,11110,309050,557050,16.44,35.24,7
22862,서울특별시,11,중랑구,11260,319050,556950,175.83,593.58,4
22863,서울특별시,11,송파구,11710,323150,544750,50.51,16.04,8
22864,서울특별시,11,동작구,11590,310050,543350,88.91,90.6,4
22865,서울특별시,11,서대문구,11410,307550,555750,246.31,328.43,2
22866,서울특별시,11,성북구,11290,312650,555850,118.14,269.13,4
22867,서울특별시,11,도봉구,11320,314750,564350,12.65,26.8,2
22868,서울특별시,11,종로구,11110,310150,553550,9.59,18.8,5
22869,서울특별시,11,양천구,11470,299250,546350,70.0,238.48,5
22870,서울특별시,11,동대문구,11230,315050,553950,96.0,322.27,3
22871,서울특별시,11,동작구,11590,306950,545750,158.54,328.83,4
22872,서울특별시,11,송파구,11710,318650,545050,61.4,95.03,6
22873,서울특별시,11,금천구,11545,303150,539550,209.81,201.23,2
22874,서울특별시,11,용산구,11170,309850,550050,99.33,178.12,3
22875,서울특별시,11,양천구,11470,297250,547050,38.56,130.48,3
22876,서울특별시,11,금천구,11545,303850,540450,170.88,533.19,3
22877,서울특별시,11,성북구,11290,311950,556450,154.83,525.37,3
22878,서울특별시,11,송파구,11710,323550,545550,10.82,5.33,5
22879,서울특별시,11,서초구,11650,313350,543150,69.48,96.24,9
22880,서울특별시,11,송파구,11710,321750,543150,150.0,547.64,9
22881,서울특별시,11,동대문구,11230,316450,553550,234.25,317.5,3
22882,서울특별시,11,동작구,11590,309750,542150,67.3,75.16,3
22883,서울특별시,11,성북구,11290,311150,555850,10.65,26.95,10
22884,서울특별시,11,마포구,11440,307650,548950,200.0,619.14,6
22885,서울특별시,11,송파구,11710,322150,545650,197.12,460.07,5
22886,서울특별시,11,영등포구,11560,301650,546750,40.0,128.23,5
22887,서울특별시,11,서초구,11650,315650,541050,156.49,321.7,6
22888,서울특별시,11,영등포구,11560,303850,545250,43.62,51.6,3
