,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM
214,서울특별시,11,영등포구,11560,190120,446513,(주)지에스홈쇼핑
215,서울특별시,11,강남구,11680,204764,446745,아우디폭스바겐코리아(주)
216,서울특별시,11,강서구,11500,183388,451317,(주)공항석유상사
217,서울특별시,11,강남구,11680,204264,444621,세방전지(주)
218,서울특별시,11,구로구,11530,190396,443975,애경유화(주)
219,서울특별시,11,중구,11140,196752,450122,(주)영원무역
220,서울특별시,11,노원구,11350,205212,460113,(주)대륜이엔에스
221,서울특별시,11,강남구,11680,205543,444983,(주)삼탄
222,서울특별시,11,서초구,11650,199425,442659,한성자동차(주)
223,서울특별시,11,영등포구,11560,193729,446874,(주)문화방송
224,서울특별시,11,중구,11140,197813,450455,피에스앤마케팅(주)
225,서울특별시,11,중구,11140,200198,451256,씨제이푸드빌(주)
226,서울특별시,11,중구,11140,198512,451645,(주)오씨아이상사
227,서울특별시,11,중구,11140,197847,451012,장금상선(주)
228,서울특별시,11,마포구,11440,195828,449552,엘지엔시스(주)
229,서울특별시,11,영등포구,11560,193123,446863,한화증권(주)
230,서울특별시,11,서초구,11650,198845,440755,(주)씨제이오쇼핑
231,서울특별시,11,종로구,11110,199977,452527,현대로지엠(주)
232,서울특별시,11,서초구,11650,201493,442373,(주)하이트진로
233,서울특별시,11,동작구,11590,193232,443315,악사손해보험(주)
234,서울특별시,11,중구,11140,198748,451681,한화호텔앤드리조트(주)
235,서울특별시,11,영등포구,11560,191751,445975,롯데역사(주)
236,서울특별시,11,중구,11140,197641,451155,울트라건설(주)
237,서울특별시,11,강남구,11680,203598,446151,남광토건(주)
238,서울특별시,11,강남구,11680,205331,445725,성우오토모티브(주)
239,서울특별시,11,관악구,11620,193352,443216,(주)코리아세븐
240,서울특별시,11,양천구,11470,188753,447443,(주)에스비에스
241,서울특별시,11,중구,11140,198473,451578,(주)교원구몬
242,서울특별시,11,영등포구,11560,189957,445880,(주)지오영네트웍스
243,서울특별시,11,종로구,11110,198260,451950,(주)동양
244,서울특별시,11,용산구,11170,197284,448208,(주)오리온
245,서울특별시,11,마포구,11440,195838,449412,씨앤에스에너지(주)
246,서울특별시,11,영등포구,11560,189957,445880,(주)지오영
247,서울특별시,11,성동구,11200,205144,449259,(주)신도리코
248,서울특별시,11,강남구,11680,205005,444928,한국제지(주)
249,서울특별시,11,강남구,11680,202026,446224,(주)이테크건설
250,서울특별시,11,영등포구,11560,193523,446463,동부증권(주)
251,서울특별시,11,중구,11140,198473,451578,에스케이텔레시스(주)
252,서울특별시,11,강남구,11680,202642,443388,한일시멘트(주)
253,서울특별시,11,동작구,11590,193996,445597,(주)유한양행
254,서울특별시,11,영등포구,11560,193749,446642,엔에이치투자증권(주)
255,서울특별시,11,중구,11140,200550,451167,서울석유(주)
256,서울특별시,11,강남구,11680,204670,444804,도시바일렉트로닉스코리아(주)
257,서울특별시,11,구로구,11530,190123,445203,대성산업(주)
